date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:11	7257/7257	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-1c59%22	https://mittrayash.github.io/images/work/csgames.png	E:/portfolio/pert/mittrayash.github.io/images/work/csgames.png	(from https://mittrayash.github.io/index.html)
00:10:11	13698/13698	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-3582%22	https://mittrayash.github.io/images/work/goldenkey.png	E:/portfolio/pert/mittrayash.github.io/images/work/goldenkey.png	(from https://mittrayash.github.io/index.html)
00:10:11	6181/6181	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-1825%22	https://mittrayash.github.io/images/work/mastercardnxt.png	E:/portfolio/pert/mittrayash.github.io/images/work/mastercardnxt.png	(from https://mittrayash.github.io/index.html)
00:10:12	8112/8112	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-1fb0%22	https://mittrayash.github.io/images/work/kickstart.png	E:/portfolio/pert/mittrayash.github.io/images/work/kickstart.png	(from https://mittrayash.github.io/index.html)
00:10:12	2444/2444	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e94ba9c-98c%22	https://mittrayash.github.io/js/jquery.scrollTo.min.js	E:/portfolio/pert/mittrayash.github.io/js/jquery.scrollTo.min.js	(from https://mittrayash.github.io/index.html)
00:10:13	95962/95962	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e94ba9c-176da%22	https://mittrayash.github.io/js/jquery-1.11.3.min.js	E:/portfolio/pert/mittrayash.github.io/js/jquery-1.11.3.min.js	(from https://mittrayash.github.io/index.html)
00:10:13	56987/56987	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e94ba9c-de9b%22	https://mittrayash.github.io/js/jquery.nicescroll.min.js	E:/portfolio/pert/mittrayash.github.io/js/jquery.nicescroll.min.js	(from https://mittrayash.github.io/index.html)
00:10:13	552376/552376	---M--	200	added ('OK')	image/png	etag:%225e94ba9c-86db8%22	https://mittrayash.github.io/img/prize.png	E:/portfolio/pert/mittrayash.github.io/img/prize.png	(from https://mittrayash.github.io/index.html)
00:10:14	54308/54308	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e94ba9c-d424%22	https://mittrayash.github.io/js/owl.carousel.js	E:/portfolio/pert/mittrayash.github.io/js/owl.carousel.js	(from https://mittrayash.github.io/index.html)
00:10:14	12568/12568	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e94ba9c-3118%22	https://mittrayash.github.io/js/typed.js	E:/portfolio/pert/mittrayash.github.io/js/typed.js	(from https://mittrayash.github.io/index.html)
